,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
count,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,24010.0,25000.0,25000.0,25000.0,25000.0,25000.0
mean,4.08904,0.77368,3.1042,4985.71156,42.41812,0.09816,0.05464,0.65688,163.53732,28.944398167430236,17.13044,0.30328,3.48204,18.81228,22102.63292
std,2.606611527509654,1.199448541902564,1.1416630395085194,1052.8252519781308,16.064328749497346,0.2975368137327229,0.22728074415019514,0.47476065707602644,62.718609297206896,7.872533953657742,9.161108144896975,0.45968434168215855,1.6903347975087972,8.632382169626002,11607.755076596379
min,0.0,0.0,0.0,1821.0,15.0,0.0,0.0,0.0,55.0,10.0,0.0,0.0,0.0,1.0,2065.0
25%,2.0,0.0,2.0,4313.0,29.0,0.0,0.0,0.0,109.0,24.0,10.0,0.0,2.0,11.0,13059.0
50%,4.0,0.0,3.0,4859.0,42.0,0.0,0.0,1.0,164.0,28.0,18.0,0.0,3.0,21.0,22101.0
75%,6.0,1.0,4.0,5500.0,56.0,0.0,0.0,1.0,218.0,33.0,24.0,1.0,5.0,26.0,30103.0
max,8.0,5.0,12.0,11008.0,70.0,1.0,1.0,1.0,271.0,98.0,39.0,1.0,6.0,32.0,55151.0
